"business_name","website"
"Wynwood Kitchen & Bar","http://www.wynwoodkitchenandbar.com"
"Steve's Pizza","http://www.stevespizzas.net"
"Shibui Japanese Restaurant","http://www.shibuimiami.com"
"Islas Canarias Restaurant","http://www.islascanariasrestaurant.com/"
"Garcia's Seafood Grille & Fish Market","http://www.garciasmiami.com"
"Carmine's La Trattoria Kendall","http://www.carmineslatrattoria.com"
"Bagels & Company","http://www.bagelsandcompany.com"
"The Capital Grille","http://www.thecapitalgrille.com"
"94th Aero Squadron Restaurant","http://www.94miami.com/94thmiami/default.aspx"
"Casa Juan Restaurant","http://casajuanrestaurant.com"
"Dolores But You Can Call Me Lolita","http://www.doloreslolita.com"
"La Rosa Restaurant","http://www.larosarestaurantmiami.com"
"La Giraldilla Restaurant","https://m.facebook.com/pages/la-giraldilla-restaurant/111746622194027"
"Camila's Restaurants","http://www.camilasrestaurant.com"
"The Cheesecake Factory","http://www.thecheesecakefactory.com"
"BJ's Restaurants","http://www.bjsbrewhouse.com"
"CarinaÂ’s Stone Fired Pizza-Gelato","http://www.carinaspizza.com"
"Perricone's Marketplace & Cafe","http://www.perricones.com"
"Suviche","http://www.suviche.com"
"P.F. Chang's","https://www.pfchangs.com/locations/us/fl/miami/8888-sw-136th-st/2200-the-falls.html?utm_source=YextMain&utm_medium=Directory"
"Scotty's Landing","http://www.sailmiami.com/scottys.htm"
"SUGARCANE raw bar grill","http://www.sugarcanerawbargrill.com"
"Balans Brickell",""
"City Hall the Restaurant","http://www.cityhalltherestaurant.com"
"Los Ranchos Steakhouse","http://www.beststeakinmiami.com"
"Salmon Salmon",""
"Grand Lux Cafe","http://www.grandluxcafe.com"
"Sparky's Roadside Barbecue","http://www.sparkysroadsidebarbecue.com"
"PM Fish & Steak House","http://www.pmrestaurantes.com/en"
"La Patagonia Argentina",""
